,Nombre del dato RDA,Tipo de dato,Formato / Longitud,Obligatorio,Valores permitidos / Catálogo,Validación técnica,Uso en Smart Contract,Estructura en red Blockchain,Fuente normativa
,Medicamentos Administrados,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código medicamento,Código,Según estándar,Sí,Código ATC / INVIMA,Coincidencia exacta con catálogo,Identificador del medicamento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre medicamento,String,Máx. 200 caracteres,Sí,Código ATC / INVIMA,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,26 Descripción común medicamento,String,Máx. 200 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,28.1 Dosis prescrita,String,Máx. 100 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,28.2 Unidad medida dosis,Código,Según catálogo,No,Catálogo de unidades,Valor permitido,Clasificación de unidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,29 Vía administración,Código,Según catálogo,Sí,Catálogo de vías,Valor permitido,Clasificación de vía,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,31.1 Frecuencia cantidad,Número,Entero,No,N/A,Valor válido (>0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,31.2 Frecuencia unidad tiempo,Código,Según catálogo,No,Catálogo de unidades de tiempo,Valor permitido,Clasificación de frecuencia,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,32.1 Dosis administrada,String,Máx. 100 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,32.2 Unidad dosis administrada,Código,Según catálogo,No,Catálogo de unidades,Valor permitido,Clasificación de unidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,33 Fecha administración medicamento,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de administración,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,35.1 Número dosis aplicadas,Número,Entero,No,N/A,Valor válido (>=0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,35.2 Unidad tiempo dosis aplicadas,Código,Según catálogo,No,Catálogo de unidades de tiempo,Valor permitido,Clasificación de unidad de tiempo,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.1 Tipo ID administrador,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del profesional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.2 ID administrador,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del profesional,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad tecnología,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Otras Tecnologías Administradas,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código tecnología salud (UDI-DI en caso de dispositivos),Código,Según estándar,Sí,UDI-DI / Catálogo correspondiente,Coincidencia exacta con estándar,Identificador de la tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre tecnología salud,String,Máx. 200 caracteres,Sí,Catálogo correspondiente,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,33 Fecha administración,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de administración,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.1 Tipo ID aplicador,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del aplicador,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.2 ID aplicador,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del aplicador,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad tecnología,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnósticos de Egreso,,,,,,,,
,37.1 Código diagnóstico principal egreso CIE-10,Código,Según estándar,Sí,CIE-10,Coincidencia exacta con CIE-10,Identificador diagnóstico principal egreso,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,37.2 Nombre diagnóstico principal egreso CIE-10,String,Máx. 200 caracteres,Sí,CIE-10,Correspondencia con 37.1,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,37.3 Tipo diagnóstico principal egreso CIE-10,Código,Según catálogo,Sí,Catálogo tipo diagnóstico,Valor permitido,Clasificación del diagnóstico,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnóstico egreso CIE-11 (opcional),Código,Según estándar,No,CIE-11,Coincidencia exacta con CIE-11,Referencia diagnóstica,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Término diagnóstico egreso CIE-11 (opcional),String,Máx. 200 caracteres,No,CIE-11,Correspondencia con código CIE-11,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,38.1 Diagnóstico relacionado CIE-10/CIE-11,Código,Según estándar,No,CIE-10 / CIE-11,Coincidencia exacta,Identificador diagnóstico relacionado,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,38.2 Nombre diagnóstico relacionado,String,Máx. 200 caracteres,No,CIE-10 / CIE-11,Correspondencia con 38.1,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,40.1 Código diagnóstico complicación,Código,Según estándar,No,CIE-10 / CIE-11,Coincidencia exacta,Identificador diagnóstico complicación,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,40.2 Nombre diagnóstico complicación,String,Máx. 200 caracteres,No,CIE-10 / CIE-11,Correspondencia con 40.1,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,41 Condición y destino egreso,Código,Según catálogo,Sí,Catálogo condición/destino egreso,Valor permitido,Clasificación del egreso,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,42.1 Código causa básica muerte (si aplica),Código,Según estándar,No (condicional),CIE-10,Coincidencia exacta; requerido si aplica,Identificador causa básica de muerte,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,42.2 Nombre causa básica muerte,String,Máx. 200 caracteres,No (condicional),CIE-10,Correspondencia con 42.1,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Remisión,,,,,,,,
,44 Código prestador destino,Código,Según catálogo,Sí,REPS,Coincidencia exacta con REPS,Identificador del prestador destino,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Medicamentos Ordenados al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código medicamento,Código,Según estándar,Sí,Código ATC / INVIMA,Coincidencia exacta con catálogo,Identificador del medicamento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre medicamento,String,Máx. 200 caracteres,Sí,Código ATC / INVIMA,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,26 Descripción medicamento,String,Máx. 200 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,28.1 Dosis ordenada,String,Máx. 100 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,28.2 Unidad dosis,Código,Según catálogo,No,Catálogo de unidades,Valor permitido,Clasificación de unidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,29 Vía administración,Código,Según catálogo,Sí,Catálogo de vías,Valor permitido,Clasificación de vía,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,30.1 Duración cantidad,Número,Entero,No,N/A,Valor válido (>0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,30.2 Duración unidad,Código,Según catálogo,No,Catálogo de unidades de tiempo,Valor permitido,Clasificación de unidad de tiempo,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,31.1 Frecuencia cantidad,Número,Entero,No,N/A,Valor válido (>0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,31.2 Frecuencia unidad tiempo,Código,Según catálogo,No,Catálogo de unidades de tiempo,Valor permitido,Clasificación de frecuencia,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Procedimientos Ordenados al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código procedimiento,Código,Según estándar,Sí,CUPS,Coincidencia exacta con CUPS,Identificador del procedimiento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre procedimiento,String,Máx. 200 caracteres,Sí,CUPS,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Otras Tecnologías Ordenadas al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código tecnología salud,Código,Según estándar,Sí,UDI-DI / Catálogo correspondiente,Coincidencia exacta con estándar,Identificador de la tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.3 Nombre tecnología salud,String,Máx. 200 caracteres,Sí,Catálogo correspondiente,Correspondencia con código,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Datos de Incapacidad,,,,,,,,
,45.1 Alcance incapacidad,Código,Según catálogo,Sí,Catálogo de alcance incapacidad,Valor permitido,Clasificación de incapacidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,45.2 Días incapacidad,Número,Entero,Sí,N/A,Valor válido (>=0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,46 Días licencia maternidad,Número,Entero,No,N/A,Valor válido (>=0),No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Profesional de Salud que Dio el Alta,,,,,,,,
,49.1 Tipo documento THS,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del profesional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,49.2 Número documento THS,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del profesional,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Documento Soporte,,,,,,,,
,Nombre documento PDF,String,Máx. 255 caracteres,Sí,N/A,Formato válido (PDF),Referencia del documento,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
