,Nombre del dato RDA,Tipo de dato,Formato / Longitud,Obligatorio,Valores permitidos / Catálogo,Validación técnica,Uso en Smart Contract,Estructura en red Blockchain,Fuente normativa
,24.2 Código tecnología salud (UDI-DI en caso de dispositivos),Código,Según estándar,Sí,UDI-DI / Catálogo correspondiente,Coincidencia exacta con estándar,Identificador de la tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,33 Fecha administración,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de administración,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.1 Tipo ID aplicador,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del aplicador,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,36.2 ID aplicador,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del aplicador,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad tecnología,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnósticos de Egreso,,,,,,,,
,37.1 Código diagnóstico principal egreso CIE-10,Código,Según estándar,Sí,CIE-10,Coincidencia exacta con CIE-10,Identificador diagnóstico principal egreso,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,37.3 Tipo diagnóstico principal egreso CIE-10,Código,Según catálogo,Sí,Catálogo tipo diagnóstico,Valor permitido,Clasificación del diagnóstico,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Diagnóstico egreso CIE-11 (opcional),Código,Según estándar,No,CIE-11,Coincidencia exacta con CIE-11,Referencia diagnóstica,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,41 Condición y destino egreso,Código,Según catálogo,Sí,Catálogo condición/destino egreso,Valor permitido,Clasificación del egreso,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Remisión,,,,,,,,
,44 Código prestador destino,Código,Según catálogo,Sí,REPS,Coincidencia exacta con REPS,Identificador del prestador destino,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Medicamentos Ordenados al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código medicamento,Código,Según estándar,Sí,Código ATC / INVIMA,Coincidencia exacta con catálogo,Identificador del medicamento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,26 Descripción medicamento,String,Máx. 200 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,28.1 Dosis ordenada,String,Máx. 100 caracteres,No,N/A,Formato válido,No aplica,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,28.2 Unidad dosis,Código,Según catálogo,No,Catálogo de unidades,Valor permitido,Clasificación de unidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,29 Vía administración,Código,Según catálogo,Sí,Catálogo de vías,Valor permitido,Clasificación de vía,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Procedimientos Ordenados al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código procedimiento,Código,Según estándar,Sí,CUPS,Coincidencia exacta con CUPS,Identificador del procedimiento,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Otras Tecnologías Ordenadas al Egreso,,,,,,,,
,24.1 Tipo tecnología salud,Código,Según catálogo,Sí,Catálogo Minsalud,Valor permitido,Clasificación de tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,24.2 Código tecnología salud,Código,Según estándar,Sí,UDI-DI / Catálogo correspondiente,Coincidencia exacta con estándar,Identificador de la tecnología,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,27 Fecha prescripción,datetime,YYYY-MM-DD HH:mm,Sí,N/A,Fecha válida,Marca temporal de prescripción,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,25 Finalidad,Código,Según catálogo,Sí,Catálogo de finalidades,Valor permitido,Clasificación de finalidad,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,Datos de Incapacidad,,,,,,,,
,Profesional de Salud que Dio el Alta,,,,,,,,
,49.1 Tipo documento THS,Código,Según catálogo,Sí,Catálogo tipo identificación,Valor permitido,Identificador del profesional,Metadato on-chain,RDA Urgencias; Resolución 866 de 2021
,49.2 Número documento THS,String,Máx. 20 caracteres,Sí,N/A,Formato válido,Referencia del profesional,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
,Documento Soporte,,,,,,,,
,Nombre documento PDF,String,Máx. 255 caracteres,Sí,N/A,Formato válido (PDF),Referencia del documento,Referencia off-chain,RDA Urgencias; Resolución 866 de 2021
